Mois,Région,Rayonnement solaire global (W/m2),Vitesse du vent à 100m (m/s)
2019-07,Corse,305.70266129032257,3.3747580645161293
2019-07,Grand-Est,276.05213709677423,4.401048387096775
2019-07,Hauts-de-France,265.9047580645164,5.187540322580646
2019-07,Ile-de-France,275.698508064516,4.911532258064516
2019-07,Normandie,280.5629435483871,5.458508064516125
2019-07,Nouvelle-Aquitaine,278.2245564516129,4.7182258064516125
2019-07,Occitanie,289.92455645161283,4.636814516129029
2019-07,Pays de la Loire,286.27415322580634,5.657580645161292
2019-07,Provence-Alpes-Côte d'Azur,306.3862500000002,4.582217741935489
2019-08,Auvergne-Rhône-Alpes,241.97205645161296,3.2745161290322553
2019-08,Bourgogne-Franche-Comté,228.72044354838727,4.071854838709679
2019-08,Bretagne,215.165685483871,6.328387096774196
2019-08,Centre-Val de Loire,225.30875,5.184153225806453
2019-08,Corse,268.702419354839,3.2090725806451603
2019-08,Grand-Est,220.23552419354831,4.434112903225803
2019-08,Hauts-de-France,210.27620967741936,5.878709677419356
2019-08,Ile-de-France,213.88052419354844,5.026451612903226
2019-08,Normandie,212.22274193548384,6.235645161290319
2019-08,Nouvelle-Aquitaine,233.09963709677402,4.35774193548387
2019-08,Occitanie,247.8924999999999,4.4523790322580625
2019-08,Pays de la Loire,219.78629032258067,5.61806451612903
2019-08,Provence-Alpes-Côte d'Azur,265.68520161290326,4.5893145161290345
2019-09,Auvergne-Rhône-Alpes,187.27404166666676,3.9452500000000033
2019-09,Bourgogne-Franche-Comté,174.0098750000001,4.8971666666666644
2019-09,Bretagne,161.509625,7.464625
2019-09,Centre-Val de Loire,171.20491666666658,6.005416666666668
2019-09,Corse,205.3978333333333,4.236625000000002
2019-09,Grand-Est,163.57979166666667,5.224041666666662
2019-09,Hauts-de-France,148.05416666666665,6.597999999999999
2019-09,Ile-de-France,160.07820833333338,5.851041666666669
2019-09,Normandie,154.00674999999995,7.142666666666668
2019-09,Nouvelle-Aquitaine,184.69733333333323,5.299291666666668
2019-09,Occitanie,194.90670833333328,5.545791666666667
2019-09,Pays de la Loire,172.4143749999999,6.813500000000001
2019-09,Provence-Alpes-Côte d'Azur,202.59666666666664,5.77325
2019-10,Auvergne-Rhône-Alpes,109.50120967741934,3.978669354838709
2019-10,Bourgogne-Franche-Comté,91.87826612903226,5.498104838709678
2019-10,Bretagne,90.09798387096774,8.360040322580645
2019-10,Centre-Val de Loire,89.37379032258069,6.757943548387092
2019-10,Corse,139.86649193548382,4.488104838709675
2019-10,Grand-Est,87.39778225806454,6.225040322580641
2019-10,Hauts-de-France,80.54499999999997,7.493991935483869
2019-10,Ile-de-France,84.27112903225806,6.832499999999993
2019-10,Normandie,83.92435483870965,8.207983870967743
2019-10,Nouvelle-Aquitaine,107.01588709677415,5.664516129032257
2019-10,Occitanie,120.92294354838708,5.674395161290326
2019-10,Pays de la Loire,93.93592741935485,7.084193548387097
2019-10,Provence-Alpes-Côte d'Azur,133.66745967741937,6.0652822580645145
2019-11,Auvergne-Rhône-Alpes,60.80129166666672,4.168583333333332
2019-11,Bourgogne-Franche-Comté,52.468125,5.5942083333333334
2019-11,Bretagne,51.120166666666655,9.329749999999999
2019-11,Centre-Val de Loire,50.64708333333332,6.997874999999998
